"dataset","quantity","term","value"
"synth_rising_ptconst","coef","(Intercept)","0.29961460342859386"
"synth_rising_ptconst","coef","arm","0.88933847467986094"
"synth_rising_ptconst","coef","z","0.66595003379996787"
"synth_rising_ptconst","coef","arm:z","0.27301571903658739"
"synth_rising_ptconst","loglik_full","full","-1242.6128288963641"
"synth_rising_ptconst","test_loglik_1","arm:z","-1242.6128288963641"
"synth_rising_ptconst","test_loglik_2","arm:z","-1498.9192008441009"
"synth_rising_ptconst","test_stat","arm:z","512.61274389547361"
"synth_rising_ptconst","test_df","arm:z","3"
"synth_rising_ptconst","test_prob","arm:z","0"
"synth_mid_delta","coef","(Intercept)","-0.059506168035539854"
"synth_mid_delta","coef","arm","0.13961420304980263"
"synth_mid_delta","coef","z","0.012961878765156495"
"synth_mid_delta","coef","arm:z","0.34257097211958953"
"synth_mid_delta","loglik_full","full","-1615.4847541328095"
"synth_mid_delta","test_loglik_1","arm:z","-1615.4847541328095"
"synth_mid_delta","test_loglik_2","arm:z","-1616.8983294883544"
"synth_mid_delta","test_stat","arm:z","2.827150711089871"
"synth_mid_delta","test_df","arm:z","3"
"synth_mid_delta","test_prob","arm:z","0.41904990725682234"
"synth_floor_sparse","coef","(Intercept)","-3.42035215337933"
"synth_floor_sparse","coef","arm","-0.15576741641118177"
"synth_floor_sparse","coef","z","0.085215907583215414"
"synth_floor_sparse","coef","arm:z","0.44166910366318796"
"synth_floor_sparse","loglik_full","full","-340.48012221749963"
"synth_floor_sparse","test_loglik_1","arm:z","-340.48012221749963"
"synth_floor_sparse","test_loglik_2","arm:z","-1644.1190444178185"
"synth_floor_sparse","test_stat","arm:z","2607.2778444006376"
"synth_floor_sparse","test_df","arm:z","3"
"synth_floor_sparse","test_prob","arm:z","0"
"sex2","coef","(Intercept)","0.1202537954253175"
"sex2","coef","age","-1.1059812942965277"
"sex2","coef","oc","-0.068816693253251335"
"sex2","coef","vic","2.2688748697139629"
"sex2","coef","vicl","-2.1114083396812307"
"sex2","coef","vis","-0.78831695310406069"
"sex2","coef","dia","3.0960120107170428"
"sex2","loglik_full","full","-132.53937953284517"
"sex2","test_loglik_1","age","-132.53937953284517"
"sex2","test_loglik_2","age","-156.71355642088577"
"sex2","test_stat","age","48.348353776081183"
"sex2","test_df","age","6"
"sex2","test_prob","age","1.006592487140523e-08"
"sex2","test_loglik_1","oc","-132.53937953284517"
"sex2","test_loglik_2","oc","-157.66932925343494"
"sex2","test_stat","oc","50.259899441179527"
"sex2","test_df","oc","6"
"sex2","test_prob","oc","4.1695027430677101e-09"
"sex2","test_loglik_1","vic","-132.53937953284517"
"sex2","test_loglik_2","vic","-155.19796273060251"
"sex2","test_stat","vic","45.317166395514676"
"sex2","test_df","vic","6"
"sex2","test_prob","vic","4.0478557727929854e-08"
"sex2","test_loglik_1","vicl","-132.53937953284517"
"sex2","test_loglik_2","vicl","-157.37650403467873"
"sex2","test_stat","vicl","49.674249003667114"
"sex2","test_df","vicl","6"
"sex2","test_prob","vicl","5.4636432045285233e-09"
"sex2","test_loglik_1","vis","-132.53937953284517"
"sex2","test_loglik_2","vis","-157.32039574033297"
"sex2","test_stat","vis","49.56203241497559"
"sex2","test_df","vis","6"
"sex2","test_prob","vis","5.7539275566398373e-09"
"sex2","test_loglik_1","dia","-132.53937953284517"
"sex2","test_loglik_2","dia","-154.36498929262012"
"sex2","test_stat","dia","43.651219519549898"
"sex2","test_df","dia","6"
"sex2","test_prob","dia","8.6677357735709393e-08"
